PlayerID,Player,Squad,League,Pos
4169,Dodi Lukebakio,Sevilla,La Liga,FW
4172,Emile Smith Rowe,Fulham,Premier League,MF
4176,Fabian Bredlow,Stuttgart,Bundesliga,GK
4179,Florent Muslija,Freiburg,Bundesliga,"FW,MF"
4180,Florian Neuhaus,Gladbach,Bundesliga,MF
4181,Frederik Rønnow,Union Berlin,Bundesliga,GK
4182,Fredrik Jensen,Augsburg,Bundesliga,MF
4196,Jean-Philippe Mateta,Crystal Palace,Premier League,FW
4197,Jeong Woo-Yeong,Union Berlin,Bundesliga,"MF,FW"
4198,John Yeboah,Venezia,Serie A,"FW,MF"
4200,Jonathan Burkardt,Mainz 05,Bundesliga,FW
4204,Jérôme Roussillon,Union Berlin,Bundesliga,"DF,MF"
4206,Keven Schlotterbeck,Augsburg,Bundesliga,DF
4209,Kevin Stöger,Gladbach,Bundesliga,MF
4212,Leonardo Balerdi,Marseille,Ligue 1,DF
4214,Lucas Torró,Osasuna,La Liga,MF
4218,Mark Flekken,Brentford,Premier League,GK
4220,Matheus Cunha,Wolves,Premier League,"MF,FW"
4224,Moussa Niakhate,Lyon,Ligue 1,DF
4226,Nico Schlotterbeck,Dortmund,Bundesliga,DF
4228,Nicolás González,Juventus,Serie A,"FW,MF"
4231,Nordi Mukiele,Leverkusen,Bundesliga,DF
4232,Obite N'Dicka,Roma,Serie A,DF
4234,Pablo Maffeo,Mallorca,La Liga,DF
4238,Patrick Erras,Holstein Kiel,Bundesliga,DF
4241,Pavao Pervan,Wolfsburg,Bundesliga,GK
4244,Phillipp Mwene,Mainz 05,Bundesliga,DF
4247,Reiss Nelson,Arsenal,Premier League,FW
4250,Roland Sallai,Freiburg,Bundesliga,"FW,MF"
4255,Steven Skrzybski,Holstein Kiel,Bundesliga,"MF,FW"
4260,Tuta,Eint Frankfurt,Bundesliga,"DF,MF"
4261,Tyler Adams,Bournemouth,Premier League,MF
4269,André Silva,RB Leipzig,Bundesliga,"FW,MF"
4270,Angeliño,Roma,Serie A,DF
4272,Ayman Azhil,Dortmund,Bundesliga,MF
4279,Chris Richards,Crystal Palace,Premier League,DF
4282,Christopher Lenz,Hoffenheim,Bundesliga,"DF,MF"
4283,Christopher Nkunku,Chelsea,Premier League,FW
4284,Christopher Trimmel,Union Berlin,Bundesliga,"DF,MF"
4287,Daley Sinkgraven,Las Palmas,La Liga,DF
4288,Dani Olmo,Barcelona,La Liga,"MF,FW"
4294,Diadie Samassékou,Hoffenheim,Bundesliga,MF
4297,Edimilson Fernandes,Brest,Ligue 1,"MF,DF"
4298,Edmond Tapsoba,Leverkusen,Bundesliga,DF
4299,Ellyes Skhiri,Eint Frankfurt,Bundesliga,MF
4300,Erling Haaland,Manchester City,Premier League,FW
4302,Exequiel Palacios,Leverkusen,Bundesliga,MF
4307,Florian Wirtz,Leverkusen,Bundesliga,"MF,FW"
4309,Gio Reyna,Dortmund,Bundesliga,MF
4317,Ismail Jakobs,Monaco,Ligue 1,DF
4318,Jakob Busk,Hoffenheim,Bundesliga,GK
4319,Jamal Musiala,Bayern Munich,Bundesliga,MF
4323,Jean-Clair Todibo,West Ham,Premier League,DF
4330,Joshua Zirkzee,Manchester Utd,Premier League,"FW,MF"
4331,Juan Miranda,Bologna,Serie A,DF
4334,Julian Ryerson,Dortmund,Bundesliga,DF
4342,Kingsley Ehizibue,Udinese,Serie A,DF
4348,Lazar Samardzic,Atalanta,Serie A,MF
4357,Luca Netz,Gladbach,Bundesliga,DF
4359,Lucas Hernández,Paris S-G,Ligue 1,DF
4362,Lukas Nmecha,Wolfsburg,Bundesliga,"FW,MF"
4363,Mads Pedersen,Augsburg,Bundesliga,DF
4364,Maduka Okoye,Udinese,Serie A,GK
4365,Malick Thiaw,Milan,Serie A,DF
4370,Marcus Thuram,Inter,Serie A,FW
4372,Marin Pongračić,Fiorentina,Serie A,DF
4373,Marius Bülter,Hoffenheim,Bundesliga,"FW,DF"
4375,Mateu Morey,Mallorca,La Liga,DF
4378,Maximilian Beier,Dortmund,Bundesliga,"FW,MF"
4385,Nick Woltemade,Stuttgart,Bundesliga,"FW,MF"
4392,Omar Marmoush,Eint Frankfurt,Bundesliga,FW
4395,Patrik Schick,Leverkusen,Bundesliga,FW
